tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt11221608,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",8.0,"$668,058,221 ",4.45 
tt11386016,2019,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",6.0,"$511,354,481 ",3.10 
tt11502940,2021,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",6.2,"$61,989,781 ",5.64 
tt11861036,2020,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.3,"$4,856,688 ",0.37 
tt1186373,2009,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.2,"$668,058,221 ",4.45 
tt11929674,2020,Independence Day: Resurgence,Science Fiction,"$165,000,000 ","$103,144,286 ","$384,169,424 ",7.0,"$219,169,424 ",1.33 
tt12009930,2019,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.6,"$4,856,688 ",0.37 
tt12030968,1996,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",9.1,"$4,856,688 ",0.37 
tt1211837,2016,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",7.5,"$511,354,481 ",3.10 
tt1212428,2016,The Lost City of Z,Dramatization,"$30,000,000 ","$8,574,339 ","$17,121,823 ",6.6,"($12,878,177)",(0.43)
tt1230120,2010,Collide,Contemporary Fiction,"$29,200,000 ","$2,280,004 ","$5,466,698 ",6.3,"($23,733,302)",(0.81)
tt12662722,2020,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.2,"$668,058,221 ",4.45 
tt13033942,2020,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",7.1,"$364,537,546 ",2.05 
tt13142368,2020,Dangal,Dramatization,"$9,500,000 ","$12,391,761 ","$305,149,461 ",5.4,"$295,649,461 ",31.12 
tt13194658,2020,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.2,"$4,856,688 ",0.37 
tt1334519,2008,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.5,"$4,856,688 ",0.37 
tt1343430,2009,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",4.9,"($25,684,211)",(0.86)
tt1359440,2008,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",4.1,"$61,989,781 ",5.64 
